year,opened,closed,closed_below_axis,schools_open,net
1987,75,14,-14,1323,61
1988,33,6,-6,1338,27
1989,9,2,-2,1337,7
1990,13,2,-2,1344,11
1991,27,6,-6,1367,21
1992,30,7,-7,1377,23
1993,24,0,0,1389,24
1994,43,10,-10,1433,33
1995,22,4,-4,1445,18
1996,52,7,-7,1492,45
1997,51,18,-18,1535,33
1998,49,10,-10,1565,39
1999,33,7,-7,1588,26
2000,58,15,-15,1639,43
2001,59,9,-9,1672,50
2002,47,18,-18,1709,29
2003,51,61,-61,1740,-10
2004,38,14,-14,1716,24
2005,37,23,-23,1730,14
2006,55,26,-26,1762,29
2007,37,26,-26,1783,11
2008,80,28,-28,1837,52
2009,9,23,-23,1818,-14
2010,42,37,-37,1835,5
2011,47,28,-28,1843,19
2012,30,18,-18,1844,12
2013,38,27,-27,1860,11
2014,42,28,-28,1872,14
2015,34,14,-14,1876,20
2016,37,10,-10,1898,27
2017,33,20,-20,1920,13
2018,31,15,-15,1930,16
2019,25,19,-19,1940,6
2020,23,15,-15,1942,8
2021,36,19,-19,1960,17
2022,28,23,-23,1965,5
2023,19,42,-42,1960,-23
